cdetec,fe_enc,bit_t1,bit_t0,bit_g1,bit_g0,temper,alter#
0,46.0934,2,0,2,2,-113,2
1.00E-11,55.9359,2,0,2,2,-113,3
2.00E-11,72.1383,2,0,2,2,-113,4
3.00E-11,90.8679,2,0,2,2,-113,5
4.00E-11,111.0033,2,0,2,2,-113,6
5.00E-11,131.7434,2,0,2,2,-113,7
6.00E-11,153.012,2,0,2,2,-113,8
7.00E-11,174.2477,2,0,2,2,-113,9
8.00E-11,195.8476,2,0,2,2,-113,10
9.00E-11,217.5723,2,0,2,2,-113,11
1.00E-10,239.4078,2,0,2,2,-113,12
1.10E-10,261.287,2,0,2,2,-113,13
1.20E-10,283.264,2,0,2,2,-113,14
1.30E-10,305.193,2,0,2,2,-113,15
1.40E-10,327.2509,2,0,2,2,-113,16
1.50E-10,349.2015,2,0,2,2,-113,17
1.60E-10,371.2799,2,0,2,2,-113,18
1.70E-10,393.2903,2,0,2,2,-113,19
1.80E-10,415.6337,2,0,2,2,-113,20
1.90E-10,437.4023,2,0,2,2,-113,21
2.00E-10,459.6193,2,0,2,2,-113,22
2.10E-10,481.835,2,0,2,2,-113,23
2.20E-10,503.6585,2,0,2,2,-113,24
2.30E-10,525.714,2,0,2,2,-113,25
2.40E-10,547.8472,2,0,2,2,-113,26
2.50E-10,569.9407,2,0,2,2,-113,27
