#format table ## [Custom WaveView] saved 11:37:52 Wed Sep 18 2019
XVAL ,EQN.sqrt(integral(0|par(outnoise)))/1.5791*25f/1.6e-19 ,EQN.sqrt(integral(1|par(outnoise)))/1.5754*25f/1.6e-19 ,EQN.sqrt(integral(2|par(outnoise)))/1.5817*25f/1.6e-19 ,EQN.sqrt(integral(3|par(outnoise)))/1.5805*25f/1.6e-19 
 1.00000E+008 , 1.37979E+002 , 1.18779E+002 , 1.10995E+002 , 1.10259E+002 
 1.25893E+008 , 1.37981E+002 , 1.18780E+002 , 1.10997E+002 , 1.10261E+002 
 1.58489E+008 , 1.37982E+002 , 1.18782E+002 , 1.10998E+002 , 1.10262E+002 
 1.99526E+008 , 1.37983E+002 , 1.18783E+002 , 1.11000E+002 , 1.10262E+002 
 2.51189E+008 , 1.37985E+002 , 1.18785E+002 , 1.11001E+002 , 1.10263E+002 
 3.16228E+008 , 1.37986E+002 , 1.18786E+002 , 1.11002E+002 , 1.10263E+002 
 3.98107E+008 , 1.37987E+002 , 1.18787E+002 , 1.11003E+002 , 1.10263E+002 
 5.01187E+008 , 1.37988E+002 , 1.18788E+002 , 1.11004E+002 , 1.10263E+002 
 6.30957E+008 , 1.37989E+002 , 1.18789E+002 , 1.11004E+002 , 1.10264E+002 
 7.94328E+008 , 1.37990E+002 , 1.18790E+002 , 1.11005E+002 , 1.10264E+002 
 1.00000E+009 , 1.37990E+002 , 1.18791E+002 , 1.11005E+002 , 1.10264E+002 
