cdetec,fe_enc,bit_t1,bit_t0,bit_g1,bit_g0,temper,alter#
0,46.0379,2,2,2,2,-113,2
1.00E-11,55.5629,2,2,2,2,-113,3
2.00E-11,71.605,2,2,2,2,-113,4
3.00E-11,90.2534,2,2,2,2,-113,5
4.00E-11,110.2657,2,2,2,2,-113,6
5.00E-11,130.9255,2,2,2,2,-113,7
6.00E-11,152.1267,2,2,2,2,-113,8
7.00E-11,173.4407,2,2,2,2,-113,9
8.00E-11,194.83,2,2,2,2,-113,10
9.00E-11,216.4612,2,2,2,2,-113,11
1.00E-10,238.3767,2,2,2,2,-113,12
1.10E-10,260.18,2,2,2,2,-113,13
1.20E-10,282.1486,2,2,2,2,-113,14
1.30E-10,303.9682,2,2,2,2,-113,15
1.40E-10,325.9885,2,2,2,2,-113,16
1.50E-10,348.0576,2,2,2,2,-113,17
1.60E-10,369.9457,2,2,2,2,-113,18
1.70E-10,391.8711,2,2,2,2,-113,19
1.80E-10,413.8992,2,2,2,2,-113,20
1.90E-10,435.9218,2,2,2,2,-113,21
2.00E-10,457.8557,2,2,2,2,-113,22
2.10E-10,480.0998,2,2,2,2,-113,23
2.20E-10,502.0467,2,2,2,2,-113,24
2.30E-10,523.8222,2,2,2,2,-113,25
2.40E-10,545.8933,2,2,2,2,-113,26
2.50E-10,567.8785,2,2,2,2,-113,27
