cdetec,fe_enc,bit_t1,bit_t0,bit_g1,bit_g0,temper,alter#
0,50.5899,0,2,2,2,-113,2
1.00E-11,61.1544,0,2,2,2,-113,3
2.00E-11,78.122,0,2,2,2,-113,4
3.00E-11,97.7498,0,2,2,2,-113,5
4.00E-11,118.7901,0,2,2,2,-113,6
5.00E-11,140.5442,0,2,2,2,-113,7
6.00E-11,162.792,0,2,2,2,-113,8
7.00E-11,185.2483,0,2,2,2,-113,9
8.00E-11,207.8883,0,2,2,2,-113,10
9.00E-11,230.7547,0,2,2,2,-113,11
1.00E-10,253.7214,0,2,2,2,-113,12
1.10E-10,276.6892,0,2,2,2,-113,13
1.20E-10,299.7616,0,2,2,2,-113,14
1.30E-10,322.9206,0,2,2,2,-113,15
1.40E-10,346.2063,0,2,2,2,-113,16
1.50E-10,369.2035,0,2,2,2,-113,17
1.60E-10,392.4291,0,2,2,2,-113,18
1.70E-10,415.7237,0,2,2,2,-113,19
1.80E-10,438.9627,0,2,2,2,-113,20
1.90E-10,462.2796,0,2,2,2,-113,21
2.00E-10,485.3248,0,2,2,2,-113,22
2.10E-10,508.4368,0,2,2,2,-113,23
2.20E-10,531.7261,0,2,2,2,-113,24
2.30E-10,555.1386,0,2,2,2,-113,25
2.40E-10,578.2279,0,2,2,2,-113,26
2.50E-10,601.5363,0,2,2,2,-113,27
